image_id,image,split,subset
IDRiD_021,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_021.jpg,test,grading
IDRiD_022,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_022.jpg,train,grading
IDRiD_022,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_022.jpg,test,grading
IDRiD_023,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_023.jpg,train,grading
IDRiD_023,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_023.jpg,test,grading
IDRiD_024,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_024.jpg,train,grading
IDRiD_024,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_024.jpg,test,grading
IDRiD_025,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_025.jpg,train,grading
IDRiD_025,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_025.jpg,test,grading
IDRiD_026,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_026.jpg,train,grading
IDRiD_026,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_026.jpg,test,grading
IDRiD_027,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_027.jpg,train,grading
IDRiD_027,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_027.jpg,test,grading
IDRiD_028,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_028.jpg,train,grading
IDRiD_028,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_028.jpg,test,grading
IDRiD_029,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_029.jpg,train,grading
IDRiD_029,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_029.jpg,test,grading
IDRiD_030,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_030.jpg,train,grading
IDRiD_030,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_030.jpg,test,grading
IDRiD_031,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_031.jpg,train,grading
IDRiD_031,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_031.jpg,test,grading
IDRiD_032,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_032.jpg,train,grading
IDRiD_032,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_032.jpg,test,grading
IDRiD_033,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_033.jpg,train,grading
IDRiD_033,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_033.jpg,test,grading
IDRiD_034,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_034.jpg,train,grading
IDRiD_034,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_034.jpg,test,grading
IDRiD_035,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_035.jpg,train,grading
IDRiD_035,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_035.jpg,test,grading
IDRiD_036,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_036.jpg,train,grading
IDRiD_036,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_036.jpg,test,grading
IDRiD_037,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_037.jpg,train,grading
IDRiD_037,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_037.jpg,test,grading
IDRiD_038,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_038.jpg,train,grading
IDRiD_038,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_038.jpg,test,grading
IDRiD_039,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_039.jpg,train,grading
IDRiD_039,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_039.jpg,test,grading
IDRiD_040,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_040.jpg,train,grading
IDRiD_040,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_040.jpg,test,grading
IDRiD_041,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_041.jpg,train,grading
IDRiD_041,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_041.jpg,test,grading
IDRiD_042,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_042.jpg,train,grading
IDRiD_042,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_042.jpg,test,grading
IDRiD_043,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_043.jpg,train,grading
IDRiD_043,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_043.jpg,test,grading
IDRiD_044,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_044.jpg,train,grading
IDRiD_044,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_044.jpg,test,grading
IDRiD_045,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_045.jpg,train,grading
IDRiD_045,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_045.jpg,test,grading
IDRiD_046,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_046.jpg,train,grading
IDRiD_046,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_046.jpg,test,grading
IDRiD_047,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_047.jpg,train,grading
IDRiD_047,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_047.jpg,test,grading
IDRiD_048,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_048.jpg,train,grading
IDRiD_048,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_048.jpg,test,grading
IDRiD_049,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_049.jpg,train,grading
IDRiD_049,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_049.jpg,test,grading
IDRiD_050,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_050.jpg,train,grading
IDRiD_050,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_050.jpg,test,grading
IDRiD_051,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_051.jpg,train,grading
IDRiD_051,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_051.jpg,test,grading
IDRiD_052,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_052.jpg,train,grading
IDRiD_052,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_052.jpg,test,grading
IDRiD_053,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_053.jpg,train,grading
IDRiD_053,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_053.jpg,test,grading
IDRiD_054,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_054.jpg,train,grading
IDRiD_054,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_054.jpg,test,grading
IDRiD_055,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_055.jpg,train,grading
IDRiD_055,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_055.jpg,test,grading
IDRiD_056,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_056.jpg,train,grading
IDRiD_056,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_056.jpg,test,grading
IDRiD_057,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_057.jpg,train,grading
IDRiD_057,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_057.jpg,test,grading
IDRiD_058,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_058.jpg,train,grading
IDRiD_058,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_058.jpg,test,grading
IDRiD_059,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_059.jpg,train,grading
IDRiD_059,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_059.jpg,test,grading
IDRiD_060,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_060.jpg,train,grading
IDRiD_060,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_060.jpg,test,grading
IDRiD_061,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_061.jpg,train,grading
IDRiD_061,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_061.jpg,test,grading
IDRiD_062,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_062.jpg,train,grading
IDRiD_062,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_062.jpg,test,grading
IDRiD_063,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_063.jpg,train,grading
IDRiD_063,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_063.jpg,test,grading
IDRiD_064,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_064.jpg,train,grading
IDRiD_064,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_064.jpg,test,grading
IDRiD_065,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_065.jpg,train,grading
IDRiD_065,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_065.jpg,test,grading
IDRiD_066,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_066.jpg,train,grading
IDRiD_066,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_066.jpg,test,grading
IDRiD_067,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_067.jpg,train,grading
IDRiD_067,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_067.jpg,test,grading
IDRiD_068,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_068.jpg,train,grading
IDRiD_068,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_068.jpg,test,grading
IDRiD_069,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_069.jpg,train,grading
IDRiD_069,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_069.jpg,test,grading
IDRiD_070,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_070.jpg,train,grading
IDRiD_070,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_070.jpg,test,grading
IDRiD_071,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_071.jpg,train,grading
IDRiD_071,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_071.jpg,test,grading
IDRiD_072,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_072.jpg,train,grading
IDRiD_072,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_072.jpg,test,grading
IDRiD_073,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_073.jpg,train,grading
IDRiD_073,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_073.jpg,test,grading
IDRiD_074,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_074.jpg,train,grading
IDRiD_074,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_074.jpg,test,grading
IDRiD_075,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_075.jpg,train,grading
IDRiD_075,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_075.jpg,test,grading
IDRiD_076,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_076.jpg,train,grading
IDRiD_076,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_076.jpg,test,grading
IDRiD_077,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_077.jpg,train,grading
IDRiD_077,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_077.jpg,test,grading
IDRiD_078,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_078.jpg,train,grading
IDRiD_078,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_078.jpg,test,grading
IDRiD_079,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_079.jpg,train,grading
IDRiD_079,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_079.jpg,test,grading
IDRiD_080,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_080.jpg,train,grading
IDRiD_080,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_080.jpg,test,grading
IDRiD_081,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_081.jpg,train,grading
IDRiD_081,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_081.jpg,test,grading
IDRiD_082,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_082.jpg,train,grading
IDRiD_082,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_082.jpg,test,grading
IDRiD_083,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_083.jpg,train,grading
IDRiD_083,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_083.jpg,test,grading
IDRiD_084,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_084.jpg,train,grading
IDRiD_084,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_084.jpg,test,grading
IDRiD_085,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_085.jpg,train,grading
IDRiD_085,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_085.jpg,test,grading
IDRiD_086,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_086.jpg,train,grading
IDRiD_086,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_086.jpg,test,grading
IDRiD_087,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_087.jpg,train,grading
IDRiD_087,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_087.jpg,test,grading
IDRiD_088,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_088.jpg,train,grading
IDRiD_088,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_088.jpg,test,grading
IDRiD_089,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_089.jpg,train,grading
IDRiD_089,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_089.jpg,test,grading
IDRiD_090,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_090.jpg,train,grading
IDRiD_090,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_090.jpg,test,grading
IDRiD_091,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_091.jpg,train,grading
IDRiD_091,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_091.jpg,test,grading
IDRiD_092,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_092.jpg,train,grading
IDRiD_092,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_092.jpg,test,grading
IDRiD_093,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_093.jpg,train,grading
IDRiD_093,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_093.jpg,test,grading
IDRiD_094,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_094.jpg,train,grading
IDRiD_094,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_094.jpg,test,grading
IDRiD_095,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_095.jpg,train,grading
IDRiD_095,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_095.jpg,test,grading
IDRiD_096,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_096.jpg,train,grading
IDRiD_096,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_096.jpg,test,grading
IDRiD_097,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_097.jpg,train,grading
IDRiD_097,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_097.jpg,test,grading
IDRiD_098,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_098.jpg,train,grading
IDRiD_098,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_098.jpg,test,grading
IDRiD_099,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_099.jpg,train,grading
IDRiD_099,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_099.jpg,test,grading
IDRiD_100,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_100.jpg,train,grading
IDRiD_100,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_100.jpg,test,grading
IDRiD_101,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_101.jpg,train,grading
IDRiD_101,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_101.jpg,test,grading
IDRiD_102,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_102.jpg,train,grading
IDRiD_102,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_102.jpg,test,grading
IDRiD_103,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_103.jpg,train,grading
IDRiD_103,B. Disease Grading/B. Disease Grading/1. Original Images/b. Testing Set/IDRiD_103.jpg,test,grading
IDRiD_104,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_104.jpg,train,grading
IDRiD_105,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_105.jpg,train,grading
IDRiD_106,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_106.jpg,train,grading
IDRiD_107,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_107.jpg,train,grading
IDRiD_108,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_108.jpg,train,grading
IDRiD_109,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_109.jpg,train,grading
IDRiD_110,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_110.jpg,train,grading
IDRiD_111,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_111.jpg,train,grading
IDRiD_112,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_112.jpg,train,grading
IDRiD_113,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_113.jpg,train,grading
IDRiD_114,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_114.jpg,train,grading
IDRiD_115,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_115.jpg,train,grading
IDRiD_116,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_116.jpg,train,grading
IDRiD_117,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_117.jpg,train,grading
IDRiD_118,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_118.jpg,train,grading
IDRiD_119,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_119.jpg,train,grading
IDRiD_120,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_120.jpg,train,grading
IDRiD_121,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_121.jpg,train,grading
IDRiD_122,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_122.jpg,train,grading
IDRiD_123,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_123.jpg,train,grading
IDRiD_124,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_124.jpg,train,grading
IDRiD_125,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_125.jpg,train,grading
IDRiD_126,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_126.jpg,train,grading
IDRiD_127,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_127.jpg,train,grading
IDRiD_128,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_128.jpg,train,grading
IDRiD_129,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_129.jpg,train,grading
IDRiD_130,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_130.jpg,train,grading
IDRiD_131,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_131.jpg,train,grading
IDRiD_132,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_132.jpg,train,grading
IDRiD_133,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_133.jpg,train,grading
IDRiD_134,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_134.jpg,train,grading
IDRiD_135,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_135.jpg,train,grading
IDRiD_136,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_136.jpg,train,grading
IDRiD_137,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_137.jpg,train,grading
IDRiD_138,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_138.jpg,train,grading
IDRiD_139,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_139.jpg,train,grading
IDRiD_140,B. Disease Grading/B. Disease Grading/1. Original Images/a. Training Set/IDRiD_140.jpg,train,grading
