image,image_id,split,source,od_x,od_y,fovea_x,fovea_y
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_010.jpg,IDRiD_010,test,idrid,2948,1655,1768,1771
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_011.jpg,IDRiD_011,train,idrid,1063,1329,2431,1498
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_011.jpg,IDRiD_011,test,idrid,872,1385,2019,1629
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_012.jpg,IDRiD_012,train,idrid,1101,1276,2341,1573
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_012.jpg,IDRiD_012,test,idrid,647,1149,1865,1449
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_013.jpg,IDRiD_013,train,idrid,2791,1434,1543,1513
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_013.jpg,IDRiD_013,test,idrid,850,1224,2150,1389
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_014.jpg,IDRiD_014,train,idrid,3038,1730,1719,1820
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_014.jpg,IDRiD_014,test,idrid,816,1636,2086,1917
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_015.jpg,IDRiD_015,train,idrid,962,1265,2023,1318
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_015.jpg,IDRiD_015,test,idrid,3076,1483,1955,1576
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_016.jpg,IDRiD_016,train,idrid,940,1359,2233,1524
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_016.jpg,IDRiD_016,test,idrid,3241,1325,1937,1288
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_017.jpg,IDRiD_017,train,idrid,3102,1479,1850,1516
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_017.jpg,IDRiD_017,test,idrid,3286,1321,2026,1644
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_018.jpg,IDRiD_018,train,idrid,2836,1078,1521,1494
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_018.jpg,IDRiD_018,test,idrid,520,1340,1704,1573
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_019.jpg,IDRiD_019,train,idrid,767,1265,1892,1625
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_019.jpg,IDRiD_019,test,idrid,962,1303,2161,1621
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_020.jpg,IDRiD_020,train,idrid,3211,1381,1944,1318
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_020.jpg,IDRiD_020,test,idrid,2933,1786,1723,1842
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_021.jpg,IDRiD_021,train,idrid,674,1153,1907,1348
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_021.jpg,IDRiD_021,test,idrid,1018,1415,2011,1670
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_022.jpg,IDRiD_022,train,idrid,3244,1692,1813,1610
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_022.jpg,IDRiD_022,test,idrid,3136,1325,2000,1385
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_023.jpg,IDRiD_023,train,idrid,3387,1479,1937,1569
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_023.jpg,IDRiD_023,test,idrid,865,1059,2124,1359
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_024.jpg,IDRiD_024,train,idrid,846,1168,2154,1359
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_024.jpg,IDRiD_024,test,idrid,902,1138,2266,1314
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_025.jpg,IDRiD_025,train,idrid,3192,1247,1820,1520
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_025.jpg,IDRiD_025,test,idrid,2922,1479,1543,1573
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_026.jpg,IDRiD_026,train,idrid,947,1153,2188,1333
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_026.jpg,IDRiD_026,test,idrid,962,1543,2367,1550
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_027.jpg,IDRiD_027,train,idrid,3334,1400,2026,1441
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_027.jpg,IDRiD_027,test,idrid,3113,1370,1794,1419
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_028.jpg,IDRiD_028,train,idrid,640,1310,2060,1475
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_028.jpg,IDRiD_028,test,idrid,2975,1359,1730,1393
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_029.jpg,IDRiD_029,train,idrid,3109,1681,1659,1820
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_029.jpg,IDRiD_029,test,idrid,1030,1411,2397,1576
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_030.jpg,IDRiD_030,train,idrid,1011,1179,2341,1374
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_030.jpg,IDRiD_030,test,idrid,1078,1404,2337,1588
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_031.jpg,IDRiD_031,train,idrid,2753,1554,1472,1749
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_031.jpg,IDRiD_031,test,idrid,1045,1291,2367,1419
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_032.jpg,IDRiD_032,train,idrid,827,1284,2180,1202
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_032.jpg,IDRiD_032,test,idrid,2941,1524,1502,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_033.jpg,IDRiD_033,train,idrid,3248,1535,1903,1730
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_033.jpg,IDRiD_033,test,idrid,659,1164,1933,1505
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_034.jpg,IDRiD_034,train,idrid,835,1119,2019,1295
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_034.jpg,IDRiD_034,test,idrid,951,1044,2255,1153
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_035.jpg,IDRiD_035,train,idrid,3368,1749,1895,1775
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_035.jpg,IDRiD_035,test,idrid,2847,1734,1532,1707
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_036.jpg,IDRiD_036,train,idrid,1018,1490,2435,1711
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_036.jpg,IDRiD_036,test,idrid,3068,1573,1700,1644
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_037.jpg,IDRiD_037,train,idrid,2656,1498,1468,1655
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_037.jpg,IDRiD_037,test,idrid,3312,1617,2105,1782
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_038.jpg,IDRiD_038,train,idrid,842,1333,2064,1329
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_038.jpg,IDRiD_038,test,idrid,962,1434,2293,1535
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_039.jpg,IDRiD_039,train,idrid,3098,1273,1790,1475
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_039.jpg,IDRiD_039,test,idrid,2858,1771,1494,1895
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_040.jpg,IDRiD_040,train,idrid,861,1258,2199,1344
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_040.jpg,IDRiD_040,test,idrid,2847,1138,1502,1385
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_041.jpg,IDRiD_041,train,idrid,3252,1842,2000,1854
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_041.jpg,IDRiD_041,test,idrid,1161,1505,2379,1629
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_042.jpg,IDRiD_042,train,idrid,857,977,1966,1243
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_042.jpg,IDRiD_042,test,idrid,2922,1535,1708,1584
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_043.jpg,IDRiD_043,train,idrid,936,1213,2161,1441
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_043.jpg,IDRiD_043,test,idrid,2667,1153,1322,1198
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_044.jpg,IDRiD_044,train,idrid,913,1172,2240,1217
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_044.jpg,IDRiD_044,test,idrid,962,1097,2188,1321
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_045.jpg,IDRiD_045,train,idrid,771,1419,2049,1625
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_045.jpg,IDRiD_045,test,idrid,846,1284,2154,1408
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_046.jpg,IDRiD_046,train,idrid,3259,1629,1944,1782
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_046.jpg,IDRiD_046,test,idrid,3222,1340,1787,1396
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_047.jpg,IDRiD_047,train,idrid,3139,1854,1854,1880
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_047.jpg,IDRiD_047,test,idrid,988,1168,2169,1411
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_048.jpg,IDRiD_048,train,idrid,884,1205,2161,1434
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_048.jpg,IDRiD_048,test,idrid,966,1314,2214,1456
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_049.jpg,IDRiD_049,train,idrid,3331,1479,1963,1580
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_049.jpg,IDRiD_049,test,idrid,3199,1644,1963,1617
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_050.jpg,IDRiD_050,train,idrid,932,1318,2289,1513
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_050.jpg,IDRiD_050,test,idrid,760,1160,2015,1314
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_051.jpg,IDRiD_051,train,idrid,921,1325,2240,1501
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_051.jpg,IDRiD_051,test,idrid,3087,1674,1775,1917
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_052.jpg,IDRiD_052,train,idrid,3229,1232,2004,1374
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_052.jpg,IDRiD_052,test,idrid,884,1378,2120,1355
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_053.jpg,IDRiD_053,train,idrid,756,1194,2086,1348
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_053.jpg,IDRiD_053,test,idrid,1007,1505,2337,1677
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_054.jpg,IDRiD_054,train,idrid,685,1209,2041,1310
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_054.jpg,IDRiD_054,test,idrid,2851,1408,1521,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_055.jpg,IDRiD_055,train,idrid,3166,1573,1948,1700
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_055.jpg,IDRiD_055,test,idrid,647,1644,1940,1869
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_056.jpg,IDRiD_056,train,idrid,1120,1348,2371,1573
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_056.jpg,IDRiD_056,test,idrid,2907,1333,1547,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_057.jpg,IDRiD_057,train,idrid,3098,1423,1790,1595
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_057.jpg,IDRiD_057,test,idrid,719,1381,2011,1359
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_058.jpg,IDRiD_058,train,idrid,1123,1299,2420,1460
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_058.jpg,IDRiD_058,test,idrid,2810,1370,1644,1441
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_059.jpg,IDRiD_059,train,idrid,3076,1247,1753,1366
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_059.jpg,IDRiD_059,test,idrid,854,1172,2060,1295
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_060.jpg,IDRiD_060,train,idrid,985,1441,2394,1591
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_060.jpg,IDRiD_060,test,idrid,1153,1142,2491,1306
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_061.jpg,IDRiD_061,train,idrid,2825,1404,1536,1516
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_061.jpg,IDRiD_061,test,idrid,3316,1576,2161,1812
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_062.jpg,IDRiD_062,train,idrid,2742,1505,1446,1588
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_062.jpg,IDRiD_062,test,idrid,884,1198,2150,1258
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_063.jpg,IDRiD_063,train,idrid,726,1183,2083,1329
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_063.jpg,IDRiD_063,test,idrid,2825,1479,1506,1554
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_064.jpg,IDRiD_064,train,idrid,2701,1224,1367,1460
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_064.jpg,IDRiD_064,test,idrid,2750,1355,1468,1576
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_065.jpg,IDRiD_065,train,idrid,2941,1284,1539,1453
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_065.jpg,IDRiD_065,test,idrid,2720,1385,1337,1629
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_066.jpg,IDRiD_066,train,idrid,3064,1363,1794,1494
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_066.jpg,IDRiD_066,test,idrid,801,1374,2049,1509
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_067.jpg,IDRiD_067,train,idrid,2810,1464,1382,1183
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_067.jpg,IDRiD_067,test,idrid,3166,1677,1757,1790
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_068.jpg,IDRiD_068,train,idrid,580,1426,1940,1647
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_068.jpg,IDRiD_068,test,idrid,3301,1438,2116,1719
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_069.jpg,IDRiD_069,train,idrid,2652,1336,1446,1441
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_069.jpg,IDRiD_069,test,idrid,977,1797,2259,1932
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_070.jpg,IDRiD_070,train,idrid,1060,1318,2323,1569
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_070.jpg,IDRiD_070,test,idrid,2780,1475,1547,1558
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_071.jpg,IDRiD_071,train,idrid,2870,1351,1494,1524
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_071.jpg,IDRiD_071,test,idrid,1337,1460,2604,1670
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_072.jpg,IDRiD_072,train,idrid,996,1269,2382,1576
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_072.jpg,IDRiD_072,test,idrid,3098,1782,1817,1865
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_073.jpg,IDRiD_073,train,idrid,880,1314,2161,1531
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_073.jpg,IDRiD_073,test,idrid,805,1509,2045,1561
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_074.jpg,IDRiD_074,train,idrid,2948,1539,1670,1595
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_074.jpg,IDRiD_074,test,idrid,992,1610,2274,1696
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_075.jpg,IDRiD_075,train,idrid,925,1411,2184,1546
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_075.jpg,IDRiD_075,test,idrid,1022,1408,2308,1505
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_076.jpg,IDRiD_076,train,idrid,3124,1318,1899,1479
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_076.jpg,IDRiD_076,test,idrid,707,1423,2000,1591
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_077.jpg,IDRiD_077,train,idrid,921,1396,2180,1456
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_077.jpg,IDRiD_077,test,idrid,2986,1644,1704,1550
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_078.jpg,IDRiD_078,train,idrid,2907,1539,1678,1670
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_078.jpg,IDRiD_078,test,idrid,925,1509,2244,1666
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_079.jpg,IDRiD_079,train,idrid,692,1187,1993,1411
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_079.jpg,IDRiD_079,test,idrid,932,1449,2367,1644
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_080.jpg,IDRiD_080,train,idrid,3188,1172,1940,1400
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_080.jpg,IDRiD_080,test,idrid,977,1374,2367,1606
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_081.jpg,IDRiD_081,train,idrid,711,962,2158,711
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_081.jpg,IDRiD_081,test,idrid,730,1228,1952,1363
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_082.jpg,IDRiD_082,train,idrid,2948,1404,1745,1494
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_082.jpg,IDRiD_082,test,idrid,3203,1561,2015,1681
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_083.jpg,IDRiD_083,train,idrid,925,1569,2304,1850
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_083.jpg,IDRiD_083,test,idrid,2780,1453,1532,1456
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_084.jpg,IDRiD_084,train,idrid,1217,1355,2390,1546
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_084.jpg,IDRiD_084,test,idrid,1067,1366,2293,1505
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_085.jpg,IDRiD_085,train,idrid,3308,1479,2090,1569
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_085.jpg,IDRiD_085,test,idrid,3079,1610,1884,1606
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_086.jpg,IDRiD_086,train,idrid,921,1239,2154,1483
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_086.jpg,IDRiD_086,test,idrid,685,1149,1918,1411
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_087.jpg,IDRiD_087,train,idrid,2855,1408,1596,1449
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_087.jpg,IDRiD_087,test,idrid,3020,1261,1903,1325
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_088.jpg,IDRiD_088,train,idrid,1247,1168,2547,1295
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_088.jpg,IDRiD_088,test,idrid,2903,1588,1562,1546
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_089.jpg,IDRiD_089,train,idrid,479,1175,1978,1291
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_089.jpg,IDRiD_089,test,idrid,1120,1303,2420,1580
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_090.jpg,IDRiD_090,train,idrid,2858,1453,1551,1591
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_090.jpg,IDRiD_090,test,idrid,1120,1299,2435,1580
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_091.jpg,IDRiD_091,train,idrid,2896,1456,1622,1565
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_091.jpg,IDRiD_091,test,idrid,3169,1299,1712,1468
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_092.jpg,IDRiD_092,train,idrid,801,1366,2113,1483
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_092.jpg,IDRiD_092,test,idrid,786,1438,2083,1614
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_093.jpg,IDRiD_093,train,idrid,794,1276,1989,1426
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_093.jpg,IDRiD_093,test,idrid,726,1404,1914,1632
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_094.jpg,IDRiD_094,train,idrid,3372,1348,2236,1378
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_094.jpg,IDRiD_094,test,idrid,835,1434,2105,1670
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_095.jpg,IDRiD_095,train,idrid,3477,1411,2296,1670
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_095.jpg,IDRiD_095,test,idrid,3042,1884,1858,1902
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_096.jpg,IDRiD_096,train,idrid,801,1411,2221,1543
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_096.jpg,IDRiD_096,test,idrid,794,1284,2146,1554
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_097.jpg,IDRiD_097,train,idrid,640,1228,2015,1460
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_097.jpg,IDRiD_097,test,idrid,3188,1520,1918,1558
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_098.jpg,IDRiD_098,train,idrid,850,1145,2139,1378
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_098.jpg,IDRiD_098,test,idrid,857,1385,2071,1640
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_099.jpg,IDRiD_099,train,idrid,3064,1558,1847,1520
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_099.jpg,IDRiD_099,test,idrid,1116,1321,2495,1464
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_100.jpg,IDRiD_100,train,idrid,3053,1573,1734,1692
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_100.jpg,IDRiD_100,test,idrid,913,1276,2180,1531
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_101.jpg,IDRiD_101,train,idrid,2817,1363,1554,1434
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_101.jpg,IDRiD_101,test,idrid,2900,1696,1674,1846
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_102.jpg,IDRiD_102,train,idrid,3252,1404,1955,1464
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_102.jpg,IDRiD_102,test,idrid,992,1520,2356,1745
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_103.jpg,IDRiD_103,train,idrid,3113,1067,1667,1160
C. Localization/C. Localization/1. Original Images/b. Testing Set/IDRiD_103.jpg,IDRiD_103,test,idrid,2806,1640,1562,1715
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_104.jpg,IDRiD_104,train,idrid,1187,1520,2465,1809
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_105.jpg,IDRiD_105,train,idrid,2986,1363,1723,1359
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_106.jpg,IDRiD_106,train,idrid,943,1288,2300,1445
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_107.jpg,IDRiD_107,train,idrid,3151,1741,1839,1790
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_108.jpg,IDRiD_108,train,idrid,1003,1430,2293,1584
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_109.jpg,IDRiD_109,train,idrid,910,1288,2203,1516
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_110.jpg,IDRiD_110,train,idrid,3222,1535,1989,1588
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_111.jpg,IDRiD_111,train,idrid,756,1385,2180,1576
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_112.jpg,IDRiD_112,train,idrid,3271,1168,1963,1299
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_113.jpg,IDRiD_113,train,idrid,692,1359,2026,1543
C. Localization/C. Localization/1. Original Images/a. Training Set/IDRiD_114.jpg,IDRiD_114,train,idrid,1183,1258,2420,1524
